จังหวัด,เขต,ชุดที่,บัตรดี,บัตรเสีย,บัตรที่ไม่เลือก,หมายเลข,ชื่อสกุล,พรรค,คะแนน
นครศรีธรรมราช,2,1,659,8,63,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,118
นครศรีธรรมราช,2,1,659,8,63,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,28
นครศรีธรรมราช,2,1,659,8,63,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,97
นครศรีธรรมราช,2,1,659,8,63,4,นายเจริญ ชินวงศ์,กล้าธรรม,60
นครศรีธรรมราช,2,1,659,8,63,5,นายจรยุทธ มาศบำรุง,ประชาชน,326
นครศรีธรรมราช,2,1,659,8,63,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,16
นครศรีธรรมราช,2,1,659,8,63,7,นายปัญโน หวานนุรักษ์,พลวัต,5
นครศรีธรรมราช,2,1,659,8,63,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,5
นครศรีธรรมราช,2,1,659,8,63,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,2
นครศรีธรรมราช,2,1,659,8,63,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,2
นครศรีธรรมราช,2,2,158,10,57,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,111
นครศรีธรรมราช,2,2,158,10,57,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,36
นครศรีธรรมราช,2,2,158,10,57,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,105
นครศรีธรรมราช,2,2,158,10,57,4,นายเจริญ ชินวงศ์,กล้าธรรม,73
นครศรีธรรมราช,2,2,158,10,57,5,นายจรยุทธ มาศบำรุง,ประชาชน,305
นครศรีธรรมราช,2,2,158,10,57,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,13
นครศรีธรรมราช,2,2,158,10,57,7,นายปัญโน หวานนุรักษ์,พลวัต,7
นครศรีธรรมราช,2,2,158,10,57,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,4
นครศรีธรรมราช,2,2,158,10,57,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,4
นครศรีธรรมราช,2,2,158,10,57,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,,645,5,80,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,116
นครศรีธรรมราช,2,,645,5,80,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,40
นครศรีธรรมราช,2,,645,5,80,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,99
นครศรีธรรมราช,2,,645,5,80,4,นายเจริญ ชินวงศ์,กล้าธรรม,70
นครศรีธรรมราช,2,,645,5,80,5,นายจรยุทธ มาศบำรุง,ประชาชน,295
นครศรีธรรมราช,2,,645,5,80,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,14
นครศรีธรรมราช,2,,645,5,80,7,นายปัญโน หวานนุรักษ์,พลวัต,1
นครศรีธรรมราช,2,,645,5,80,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,4
นครศรีธรรมราช,2,,645,5,80,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,3
นครศรีธรรมราช,2,,645,5,80,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,3
นครศรีธรรมราช,2,,685,9,52,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,135
นครศรีธรรมราช,2,,685,9,52,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,34
นครศรีธรรมราช,2,,685,9,52,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,115
นครศรีธรรมราช,2,,685,9,52,4,นายเจริญ ชินวงศ์,กล้าธรรม,70
นครศรีธรรมราช,2,,685,9,52,5,นายจรยุทธ มาศบำรุง,ประชาชน,300
นครศรีธรรมราช,2,,685,9,52,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,15
นครศรีธรรมราช,2,,685,9,52,7,นายปัญโน หวานนุรักษ์,พลวัต,5
นครศรีธรรมราช,2,,685,9,52,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,7
นครศรีธรรมราช,2,,685,9,52,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,1
นครศรีธรรมราช,2,,685,9,52,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,3
นครศรีธรรมราช,2,,647,18,65,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,117
นครศรีธรรมราช,2,,647,18,65,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,41
นครศรีธรรมราช,2,,647,18,65,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,102
นครศรีธรรมราช,2,,647,18,65,4,นายเจริญ ชินวงศ์,กล้าธรรม,77
นครศรีธรรมราช,2,,647,18,65,5,นายจรยุทธ มาศบำรุง,ประชาชน,273
นครศรีธรรมราช,2,,647,18,65,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,21
นครศรีธรรมราช,2,,647,18,65,7,นายปัญโน หวานนุรักษ์,พลวัต,5
นครศรีธรรมราช,2,,647,18,65,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,5
นครศรีธรรมราช,2,,647,18,65,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,4
นครศรีธรรมราช,2,,647,18,65,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,2
นครศรีธรรมราช,2,5,633,16,81,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,126
นครศรีธรรมราช,2,5,633,16,81,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,36
นครศรีธรรมราช,2,5,633,16,81,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,84
นครศรีธรรมราช,2,5,633,16,81,4,นายเจริญ ชินวงศ์,กล้าธรรม,70
นครศรีธรรมราช,2,5,633,16,81,5,นายจรยุทธ มาศบำรุง,ประชาชน,290
นครศรีธรรมราช,2,5,633,16,81,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,8
นครศรีธรรมราช,2,5,633,16,81,7,นายปัญโน หวานนุรักษ์,พลวัต,8
นครศรีธรรมราช,2,5,633,16,81,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,7
นครศรีธรรมราช,2,5,633,16,81,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,3
นครศรีธรรมราช,2,5,633,16,81,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,1
นครศรีธรรมราช,2,7,651,7,72,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,127
นครศรีธรรมราช,2,7,651,7,72,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,46
นครศรีธรรมราช,2,7,651,7,72,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,84
นครศรีธรรมราช,2,7,651,7,72,4,นายเจริญ ชินวงศ์,กล้าธรรม,61
นครศรีธรรมราช,2,7,651,7,72,5,นายจรยุทธ มาศบำรุง,ประชาชน,308
นครศรีธรรมราช,2,7,651,7,72,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,13
นครศรีธรรมราช,2,7,651,7,72,7,นายปัญโน หวานนุรักษ์,พลวัต,1
นครศรีธรรมราช,2,7,651,7,72,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,5
นครศรีธรรมราช,2,7,651,7,72,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,4
นครศรีธรรมราช,2,7,651,7,72,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,2
นครศรีธรรมราช,2,,642,14,74,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,118
นครศรีธรรมราช,2,,642,14,74,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,36
นครศรีธรรมราช,2,,642,14,74,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,105
นครศรีธรรมราช,2,,642,14,74,4,นายเจริญ ชินวงศ์,กล้าธรรม,62
นครศรีธรรมราช,2,,642,14,74,5,นายจรยุทธ มาศบำรุง,ประชาชน,289
นครศรีธรรมราช,2,,642,14,74,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,17
นครศรีธรรมราช,2,,642,14,74,7,นายปัญโน หวานนุรักษ์,พลวัต,6
นครศรีธรรมราช,2,,642,14,74,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,6
นครศรีธรรมราช,2,,642,14,74,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,3
นครศรีธรรมราช,2,,642,14,74,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0
นครศรีธรรมราช,2,,657,19,54,1,นางสาวนันทวัน วิเชียร,ภูมิใจไทย,96
นครศรีธรรมราช,2,,657,19,54,2,นายนนทิวรรธน์ นนทภักดิ์,รวมไทยสร้างชาติ,51
นครศรีธรรมราช,2,,657,19,54,3,นายเชาวน์วัศ เสนพงศ์,ประชาธิปัตย์,101
นครศรีธรรมราช,2,,657,19,54,4,นายเจริญ ชินวงศ์,กล้าธรรม,57
นครศรีธรรมราช,2,,657,19,54,5,นายจรยุทธ มาศบำรุง,ประชาชน,322
นครศรีธรรมราช,2,,657,19,54,6,นางวิไลลักษณ์ คชพันธ์,เพื่อไทย,15
นครศรีธรรมราช,2,,657,19,54,7,นายปัญโน หวานนุรักษ์,พลวัต,7
นครศรีธรรมราช,2,,657,19,54,8,นายทศพร แซ่ซิ้น,เศรษฐกิจ,3
นครศรีธรรมราช,2,,657,19,54,9,นายสิทธิพงศ์ ชูวงศ์,สังคมประชาธิปไตยไทย,5
นครศรีธรรมราช,2,,657,19,54,10,นายนพดล กาญจนรักษ์,ไทยก้าวใหม่,0